city,route,num_nodes,num_edges,avg_degree,median_duration,diameter,density,top_in_degree_nodes,bottom_in_degree_nodes,top_out_degree_nodes,bottom_out_degree_nodes
lisbon,subway,50,104,2.08,1.225,21.0,0.04244897959183674,"[('ALAMEDA', 4)]","[('AEROPORTO', 1)]","[('ALAMEDA', 4)]","[('AEROPORTO', 1)]"
lisbon,rail,65,136,2.0923076923076924,2.5222222222222217,inf,0.032692307692307694,"[('Campolide', 5)]","[('Rossio', 1)]","[('Campolide', 5)]","[('Rossio', 1)]"
lisbon,bus,5129,7876,1.535581984792357,0.7458333333333333,inf,0.0002994504650531118,"[('Pragal (Portagem)', 11)]","[('ALAMEDA D. A. HENRIQUES', 1)]","[('Cacilhas (Avª Aliança Povo MFA) Fte Canecão', 11)]","[('ALAMEDA D. A. HENRIQUES', 1)]"
lisbon,ferry,9,12,1.3333333333333333,15.0,inf,0.16666666666666666,"[('Terreiro do Paço', 2)]","[('Barreiro', 1)]","[('Terreiro do Paço', 2)]","[('Barreiro', 1)]"
luxembourg,rail,43,107,2.488372093023256,3.875,13.0,0.0592469545957918,"[('Luxembourg, Gare Centrale', 11)]","[('Belvaux-Soleuvre, Gare', 1)]","[('Luxembourg, Gare Centrale', 9)]","[('Belvaux-Soleuvre, Gare', 1)]"
luxembourg,bus,1345,3115,2.315985130111524,1.0,inf,0.0017232032218091697,"[('Centre, Charlys Gare', 16)]","[('Rumelange, Pl. de France', 1)]","[('Kirchberg, John-F.-Kennedy', 16)]","[('Rumelange, Pl. de France', 1)]"
melbourne,tram,1179,1738,1.474130619168787,1.0,inf,0.0012513842267986308,"[('20-Melrose St/Flemington Rd (North Melbourne)', 4)]","[('39-Mattingley Cres/Melville Rd (Brunswick West)', 1)]","[('20-Melrose St/Flemington Rd (North Melbourne)', 4)]","[('39-Mattingley Cres/Melville Rd (Brunswick West)', 1)]"
melbourne,rail,219,563,2.5707762557077625,3.0,34.0,0.011792551631686984,"[('Footscray Railway Station (Footscray)', 11)]","[('Tyabb Railway Station (Tyabb)', 1)]","[('Footscray Railway Station (Footscray)', 12)]","[('Tyabb Railway Station (Tyabb)', 1)]"
melbourne,bus,13131,18943,1.442616708552281,0.9,inf,0.0001098717980618645,"[('Chirnside Park Shopping Centre/Maroondah Hwy (Chirnside Park)', 11)]","[('Skybus Coach Terminal/Spencer St (Melbourne City)', 1)]","[('Chirnside Park Shopping Centre/Maroondah Hwy (Chirnside Park)', 11)]","[('Skybus Coach Terminal/Spencer St (Melbourne City)', 1)]"
nantes,tram,97,192,1.9793814432989691,1.1608065122960631,34.0,0.020618556701030927,"[('Commerce', 5)]","[('Beaujoire', 1)]","[('Commerce', 5)]","[('Beaujoire', 1)]"
